model,is_correct,n_reasoning_tokens
deepseek-reasoner,1,242
deepseek-reasoner,1,256
deepseek-reasoner,0,3465
deepseek-reasoner,1,1850
deepseek-reasoner,0,709
deepseek-reasoner,0,1087
deepseek-reasoner,1,342
deepseek-reasoner,0,840
deepseek-reasoner,1,182
deepseek-reasoner,1,1353
deepseek-reasoner,1,718
deepseek-reasoner,1,306
deepseek-reasoner,0,4212
deepseek-reasoner,1,290
deepseek-reasoner,0,944
deepseek-reasoner,1,285
deepseek-reasoner,1,274
deepseek-reasoner,0,2147
deepseek-reasoner,1,2094
deepseek-reasoner,1,1321
deepseek-reasoner,1,213
deepseek-reasoner,0,967
deepseek-reasoner,0,3852
deepseek-reasoner,0,635
deepseek-reasoner,0,296
deepseek-reasoner,1,1665
deepseek-reasoner,0,1390
deepseek-reasoner,0,924
deepseek-reasoner,1,251
deepseek-reasoner,0,2164
deepseek-reasoner,0,588
deepseek-reasoner,1,342
deepseek-reasoner,0,217
deepseek-reasoner,0,3583
deepseek-reasoner,0,414
deepseek-reasoner,0,4927
deepseek-reasoner,0,2618
deepseek-reasoner,0,862
deepseek-reasoner,0,1047
deepseek-reasoner,0,168
deepseek-reasoner,0,1164
deepseek-reasoner,0,229
deepseek-reasoner,0,139
deepseek-reasoner,1,1146
deepseek-reasoner,0,4228
deepseek-reasoner,1,2171
deepseek-reasoner,1,450
deepseek-reasoner,0,3416
deepseek-reasoner,0,1622
deepseek-reasoner,0,672
deepseek-reasoner,1,528
deepseek-reasoner,1,253
deepseek-reasoner,0,2488
deepseek-reasoner,1,369
deepseek-reasoner,1,1834
deepseek-reasoner,1,688
deepseek-reasoner,1,741
deepseek-reasoner,1,313
deepseek-reasoner,0,272
deepseek-reasoner,0,154
deepseek-reasoner,1,1755
deepseek-reasoner,1,586
deepseek-reasoner,1,235
deepseek-reasoner,0,309
deepseek-reasoner,0,372
deepseek-reasoner,1,171
deepseek-reasoner,0,819
deepseek-reasoner,1,1699
deepseek-reasoner,0,360
deepseek-reasoner,0,2222
deepseek-reasoner,1,1440
deepseek-reasoner,1,270
deepseek-reasoner,0,1445
deepseek-reasoner,0,1405
deepseek-reasoner,0,2971
deepseek-reasoner,1,465
deepseek-reasoner,1,647
deepseek-reasoner,0,1028
deepseek-reasoner,1,333
deepseek-reasoner,0,1601
deepseek-reasoner,1,1144
deepseek-reasoner,1,1039
deepseek-reasoner,1,320
deepseek-reasoner,0,1553
deepseek-reasoner,1,311
deepseek-reasoner,0,1284
deepseek-reasoner,0,1102
deepseek-reasoner,0,421
deepseek-reasoner,0,995
deepseek-reasoner,1,2778
deepseek-reasoner,1,2330
deepseek-reasoner,1,334
deepseek-reasoner,0,1109
deepseek-reasoner,0,279
deepseek-reasoner,1,190
deepseek-reasoner,0,667
deepseek-reasoner,0,751
deepseek-reasoner,1,723
deepseek-reasoner,0,2064
deepseek-reasoner,1,934
deepseek-reasoner,0,567
deepseek-reasoner,0,1272
deepseek-reasoner,0,762
deepseek-reasoner,1,2114
deepseek-reasoner,0,655
deepseek-reasoner,0,703
deepseek-reasoner,1,182
deepseek-reasoner,1,5204
deepseek-reasoner,0,777
deepseek-reasoner,1,1436
deepseek-reasoner,1,284
deepseek-reasoner,1,266
deepseek-reasoner,0,130
deepseek-reasoner,1,728
deepseek-reasoner,1,296
deepseek-reasoner,0,2627
deepseek-reasoner,1,707
deepseek-reasoner,1,3212
deepseek-reasoner,0,1714
deepseek-reasoner,0,487
deepseek-reasoner,1,434
deepseek-reasoner,1,1287
deepseek-reasoner,1,920
deepseek-reasoner,1,190
deepseek-reasoner,1,850
deepseek-reasoner,1,325
deepseek-reasoner,0,209
deepseek-reasoner,1,583
deepseek-reasoner,1,867
deepseek-reasoner,0,4387
deepseek-reasoner,0,3686
deepseek-reasoner,0,3953
deepseek-reasoner,0,1691
deepseek-reasoner,1,474
deepseek-reasoner,0,287
deepseek-reasoner,1,481
deepseek-reasoner,0,1189
deepseek-reasoner,0,550
deepseek-reasoner,1,1315
deepseek-reasoner,1,432
deepseek-reasoner,1,216
deepseek-reasoner,0,1000
deepseek-reasoner,1,573
deepseek-reasoner,0,2710
deepseek-reasoner,1,148
deepseek-reasoner,0,2176
deepseek-reasoner,1,265
deepseek-reasoner,0,486
deepseek-reasoner,0,2450
deepseek-reasoner,0,1268
deepseek-reasoner,0,1199
deepseek-reasoner,0,1940
deepseek-reasoner,1,1192
deepseek-reasoner,1,702
deepseek-reasoner,0,1168
deepseek-reasoner,1,197
deepseek-reasoner,1,1089
deepseek-reasoner,0,555
deepseek-reasoner,1,518
deepseek-reasoner,1,254
deepseek-reasoner,0,2033
deepseek-reasoner,0,1805
deepseek-reasoner,1,931
deepseek-reasoner,1,560
deepseek-reasoner,0,1008
deepseek-reasoner,0,954
deepseek-reasoner,1,152
deepseek-reasoner,1,950
deepseek-reasoner,0,143
deepseek-reasoner,0,2206
deepseek-reasoner,1,477
deepseek-reasoner,1,894
deepseek-reasoner,1,553
deepseek-reasoner,0,483
deepseek-reasoner,0,1803
deepseek-reasoner,0,1165
deepseek-reasoner,1,166
deepseek-reasoner,0,2177
deepseek-reasoner,1,1418
deepseek-reasoner,0,3605
deepseek-reasoner,0,729
deepseek-reasoner,1,517
deepseek-reasoner,1,1734
deepseek-reasoner,0,3365
deepseek-reasoner,0,691
deepseek-reasoner,1,129
deepseek-reasoner,1,726
deepseek-reasoner,1,1323
deepseek-reasoner,0,302
deepseek-reasoner,1,1105
deepseek-reasoner,0,440
deepseek-reasoner,0,1298
deepseek-reasoner,0,2076
deepseek-reasoner,1,1258
deepseek-reasoner,0,350
deepseek-reasoner,0,203
deepseek-reasoner,0,416
deepseek-reasoner,0,4233
deepseek-reasoner,0,1045
deepseek-reasoner,1,1468
deepseek-reasoner,0,229
deepseek-reasoner,0,517
deepseek-reasoner,0,2677
deepseek-reasoner,0,808
deepseek-reasoner,0,661
deepseek-reasoner,1,711
deepseek-reasoner,0,4438
deepseek-reasoner,0,4267
deepseek-reasoner,0,590
deepseek-reasoner,0,378
deepseek-reasoner,1,2986
deepseek-reasoner,0,564
deepseek-reasoner,0,182
deepseek-reasoner,0,263
deepseek-reasoner,1,490
deepseek-reasoner,0,4233
deepseek-reasoner,0,1193
deepseek-reasoner,0,598
deepseek-reasoner,0,2101
deepseek-reasoner,1,801
deepseek-reasoner,0,1455
deepseek-reasoner,1,1090
deepseek-reasoner,0,1616
deepseek-reasoner,1,225
deepseek-reasoner,0,1479
deepseek-reasoner,1,1146
deepseek-reasoner,1,541
deepseek-reasoner,0,325
deepseek-reasoner,0,392
deepseek-reasoner,0,1077
deepseek-reasoner,1,257
deepseek-reasoner,0,1003
deepseek-reasoner,1,2269
deepseek-reasoner,0,209
deepseek-reasoner,1,979
deepseek-reasoner,0,1781
deepseek-reasoner,1,392
deepseek-reasoner,0,2551
